Type of Scam,Phone Number,Clean Digits,WhatsApp,Alt Numbers,Company Impersonated,Date Detected (PST),Source URL,Platform,Country,Snippet,Status
"Publishing Chat Scam","+254 722 849 103","254722849103","Yes","","Amazon Customer Service","2026-09-23","https://www.google.com/search?q=%22book+publisher%22+%22amazon%22+%22chat%22","Amazon Impersonators","Kenya","Fake Amazon publishing live chat agent redirecting clients to WhatsApp +254722849103 claiming priority bestseller placement.","Active Line"
"Publishing Chat Scam","+234 802 491 8203","2348024918203","Yes","","Amazon Customer Service","2026-09-23","https://www.google.com/search?q=%22book+publisher%22+%22amazon%22+%22chat%22","Amazon Impersonators","Nigeria","WhatsApp chat consultant posing as an Amazon KDP publishing agent helping authors upload manuscripts in exchange for direct fee transfers to WhatsApp +2348024918203.","Active Line"
"Publishing Chat Scam","+254 705 918 274","254705918274","Yes","","Amazon Customer Service","2026-09-23","https://www.google.com/search?q=%22book+publisher%22+%22amazon%22+%22chat%22&tbs=qdr:d","Amazon Impersonators","Kenya","Vanity publishing consultant impersonating Amazon Kindle marketing chat, messaging authors from Kenya line +254 705 918 274.","Active Line"
"Publishing Chat Scam","+233 20 847 1920","233208471920","Yes","","Amazon Customer Service","2026-09-23","https://www.google.com/search?q=%22book+publisher%22+%22amazon%22+%22chat%22&tbs=qdr:d","Amazon Impersonators","Ghana","Impersonation of Amazon Author Central chat reps calling authors back from WhatsApp +233 20 847 1920 demanding trademarking and distribution payments.","Active Line"
"Publishing Chat Scam","+234 808 391 8402","2348083918402","Yes","","Amazon Customer Service","2026-09-23","https://www.google.com/search?q=%22book+publisher%22+%22amazon%22+%22chat%22&tbs=qdr:d","Amazon Impersonators","Nigeria","Fraudulent live chat agent pretending to represent Amazon Kindle Direct Publishing, demanding upfront book marketing fees on WhatsApp.","Active Line"
"Apple Security & Invoice Phishing","1 (888) 524-9745","8885249745","No","","Apple Support","2026-09-23","https://techscammersunited.com/t/apple-fake-charge-888-524-9745/42324","Tech Support United","United States","Fraudulent Apple invoices notify users of expensive unauthorized purchases or services billed to their accounts. When victims call the listed helpline, scammers attempt to deploy remote desktop tools to compromise their secure data.","Active Line"
"Apple Security & Invoice Phishing","1 (888) 450-5235","8884505235","No","","Apple Support","2026-09-23","https://techscammersunited.com/t/apple-fake-invoice-888-450-5235/42345","Tech Support United","United States","Targets receive deceptive Apple purchase notifications claiming expensive hardware or services were bought on their account. Calling the toll-free number connects the victim to operators attempting to gain remote access and bank account details.","Active Line"
"Apple Security & Invoice Phishing","1 (877) 261-9282","8772619282","No","","Apple Support","2026-09-23","https://techscammersunited.com/t/apple-scam-877-261-9282/42344","Tech Support United","United States","Scammers operate a fake Apple support line via misleading web alerts or emails claiming user accounts are compromised. Callers are coerced into downloading remote support utilities under the guise of securing their devices.","Active Line"
"Apple Security & Invoice Phishing","1 (866) 674-5054","8666745054","No","","Apple Support","2026-09-23","https://techscammersunited.com/t/apple-text-scam-866-674-5054/42331","Tech Support United","United States","Scammers distribute SMS text messages claiming a fraudulent Apple purchase has been processed. Calling the listed number connects the victim to fraudsters attempting to steal personal information and install remote support software.","Active Line"
"Norton LifeLock Impersonation","1 (866) 381-6898","8663816898","No","","Norton LifeLock","2026-09-23","https://techscammersunited.com/t/fake-norton-antivirus-scammer-866-381-6898/42341","Tech Support United","United States","A fraudulent Norton subscription renewal notice is used to lure users into calling a fake support desk. Fraudsters demand remote access to the victim's computer to reverse unauthorized billing charges.","Active Line"
"Geek Squad Scam","1 (206) 880-1234","2068801234","No","","Geek Squad","2026-09-23","https://endscams.org/report","CSV Upload","United States","Imported threat intelligence record.","Active Line"
"Spiritualist/Spellcaster Fraud","+234 814 621 5439","2348146215439","Yes","","Great Temple of Solution / Dr. Akhere","2026-09-23","https://www.instagram.com/p/C_x9zL2oPqR/","Instagram","Nigeria","I am here to help you solve your problems. Bring back your ex within 24 hours. WhatsApp me now at +2348146215439 #spellcaster #exback #voodoo","Active Line"
"Traditional Healer / Spiritualist Fraud","+254 712 983 456","254712983456","Yes","","Dr. Sharif Traditional Healer","2026-09-23","https://www.facebook.com","Facebook","Kenya","Do you want your partner to listen only to you? Powerful binding spells available. Call or WhatsApp Dr. Sharif +254712983456 for help today.","Active Line"
"Amazon KDP Publishing Fraud","+234 814 639 2041","2348146392041","Yes","","Amazon KDP Author Support Team","2026-09-23","https://www.facebook.com/groups/kdp-authors-community/posts/example-scam-post-2026","Facebook","Nigeria","Fraudulent actors are posing as Amazon KDP live chat representatives on social media and indexed business directories to target aspiring authors. They redirect victims to WhatsApp to discuss 'mandatory' formatting and global distribution fees, often threatening to delist existing manuscripts if the setup fee is not paid immediately via untraceable methods.","Active Line"
"Binary Options & Crypto Refund","+233 55 102 9384","233551029384","Yes","","Blockchain Asset Recovery Desk","2026-09-23","https://www.google.com/search?q=site%3Ainstagram.com%20%22233551029384%22&tbs=qdr:d","Instagram","Ghana","The account utilizes high-engagement hashtags to reach victims of binary options fraud. They promise a 'no-win no-fee' model but require victims to provide sensitive account credentials over WhatsApp, leading to secondary compromise.","Active Line"
"Recovery Room / Crypto Refund Scam","+234 906 581 4237","2349065814237","Yes","","Blockchain Asset Recovery Desk","2026-09-23","https://www.google.com/search?q=site%3Ainstagram.com%20%222349065814237%22&tbs=qdr:d","Instagram","Nigeria","The threat actor uses Instagram Reels to showcase fabricated testimonials of successful wallet restorations. They claim to possess specialized software to bypass 2FA and recover lost BTC, ultimately funneling victims to a WhatsApp business account for 'consultation fees'.","Active Line"
"Email Scam","1 (810) 223-1050","18102231050","No","","Geek Squad","2026-09-23","https://techscammersunited.com/t/geek-squad-2-email-scam-810-223-1050/42356","Tech Support United","United States","Another variant of the Geek Squad email scam featuring fraudulent charges and demanding a call to customer support. The scam aims to trick users into downloading remote support tools to supposedly process refunds.","Active Line"
"Tech Support & Refund Phishing","1 (859) 522-2726","8595222726","No","","Geek Squad","2026-09-23","https://techscammersunited.com/t/geek-email-scam-859-522-2726/42366","Tech Support United","United States","Fraudsters are sending phishing emails claiming to be from Geek Squad regarding a fake security software renewal. The email requests a callback to the listed number to resolve the billing issue, facilitating credential theft and remote desktop infiltration.","Active Line"
"PayPal Text Scam / Refund Phishing","1 (813) 343-9219","8133439219","No","","PayPal","2026-09-23","https://techscammersunited.com/t/paypal-refund-scammers-813-343-9219/42367","Tech Support United","United States","Scammers are distributing fake PayPal billing notifications stating that an unwanted payment has been processed. The support line is provided so victims can call to cancel and claim a refund, which is a trap to harvest personal information and install remote access tools.","Active Line"
"Geek Squad Renewal Phishing","1 (828) 423-5979","8284235979","No","","Geek Squad","2026-09-23","https://techscammersunited.com/t/geek-squad-refund-scammers-828-423-5979/42370","Tech Support United","United States","Fraudsters are operating a fake Geek Squad refund scam, claiming victims have been charged for an unwanted subscription or service. They direct the targets to call back for a refund, ultimately attempting to gain remote access to the victim's computer to steal banking information.","Active Line"
"PayPal Text Scam / Refund Phishing","1 (830) 822-5940","8308225940","No","","PayPal","2026-09-23","https://techscammersunited.com/t/paypal-text-scam-830-822-5940/42368","Tech Support United","United States","Scammers are sending fraudulent text messages impersonating PayPal to trick targets into calling the provided number regarding unauthorized transactions or account issues. Once contacted, the scammers attempt to extract sensitive financial credentials or persuade victims to install remote access software.","Active Line"
"Email Scam","1 (810) 223-1050","8102231050","No","","Geek Squad","2026-09-23","https://techscammersunited.com/t/geek-squad-2-email-scam-810-223-1050/42356","Tech Support United","United States","Another variant of the Geek Squad email scam featuring fraudulent charges and demanding a call to customer support. The scam aims to trick users into downloading remote support tools to supposedly process refunds.","Active Line"
"Tech Support & Refund Phishing","1 (863) 210-0500","8632100500","No","","Tech Support Refund Center","2026-09-23","https://techscammersunited.com/t/the-google-subscriptions-team-scam-859-312-6599-863-210-0500/42359","Tech Support United","United States","Targets receive fake alerts regarding a Google subscription or storage plan charge. The provided numbers connect victims to scammers who manipulate them into downloading remote administration software to process a 'refund'.","Active Line"
"Tech Support & Refund Phishing","1 (859) 312-6599","8593126599","No","","Tech Support Refund Center","2026-09-23","https://techscammersunited.com/t/the-google-subscriptions-team-scam-859-312-6599-863-210-0500/42359","Tech Support United","United States","Targets receive fake alerts regarding a Google subscription or storage plan charge. The provided numbers connect victims to scammers who manipulate them into downloading remote administration software to process a 'refund'.","Active Line"
"Apple Security & Invoice Phishing","1 (863) 345-9235","8633459235","No","","Apple Support","2026-09-23","https://techscammersunited.com/t/apple-refund-scammers-863-345-9235/42360","Tech Support United","United States","Scammers distribute fake Apple invoices detailing high-priced purchases to trigger panic. Targets are instructed to call the listed number to dispute the charge and are pushed to install remote support tools.","Active Line"
"Norton LifeLock Impersonation","1 (812) 447-0727","8124470727","No","","Norton LifeLock","2026-09-23","https://techscammersunited.com/t/norton-refund-scammers-812-447-0727/42361","Tech Support United","United States","A fraudulent Norton subscription renewal email warns customers of an upcoming multi-hundred-dollar charge. The scam directs recipients to call the provided support number to cancel, paving the way for remote desktop fraud.","Active Line"
"PayPal Text Scam / Refund Phishing","1 (830) 302-1862","8303021862","No","","PayPal","2026-09-23","https://techscammersunited.com/t/paypal-refund-scammers-830-302-1862/42364","Tech Support United","United States","Scammers send fake PayPal invoices or payment confirmation emails claiming unauthorized transactions have occurred. Users are prompted to call the listed phone number to reverse the charge, facilitating credential harvesting or remote access.","Active Line"
"Tech Support & Refund Phishing","1 (812) 589-0941","8125890941","No","","Social Security Administration","2026-09-23","https://techscammersunited.com/t/699-92-sms-refund-scam-812-589-0941/42365","Tech Support United","United States","Scammers send fraudulent text messages regarding the victim's IP address to induce panic and prompt a phone call. Callers are then subjected to tech support scams aiming to gain remote access to their devices.","Active Line"
"Amazon Invoice & Impersonation","1 (803) 632-7010","8036327010","No","","Apple Support","2026-09-23","https://techscammersunited.com/t/amazon-apple-refund-scammers-803-632-7010/42363","Tech Support United","United States","Fraudsters are operating a fake refund scam impersonating Amazon and Apple services. Targets receive deceptive notifications regarding unauthorized charges and are instructed to call the provided number to process a refund, typically leading to remote access and financial theft.","Active Line"
"Spiritualist / Money Ritual Fraud","+234 813 990 1122","2348139901122","Yes","","Meta Support","2026-09-23","https://www.facebook.com","Facebook","Nigeria","The practitioner offers 'instant wealth' rituals and spiritual protection against enemies. The post uses aggressive marketing to lure victims into private WhatsApp chats for 'cleansing' instructions that involve high-value payments.","Active Line"
"Traditional Healer / Spiritualist Fraud","+27 73 821 4492","27738214492","Yes","","Meta Support","2026-09-23","https://www.facebook.com","Facebook","South Africa","The post promotes spiritual services including 'lost lover' retrieval and 'financial cleansing' rituals. It directs users to contact the practitioner via WhatsApp to secure a consultation and initiate spell-casting services.","Active Line"
"Geek Squad Renewal Phishing","1 (810) 296-5032","8102965032","No","","Geek Squad","2026-09-23","https://techscammersunited.com/t/geek-squad-email-scam-810-296-5032/42355","Tech Support United","United States","Phishing emails impersonating Geek Squad advise users of an expensive automatic renewal charge. Victims are instructed to call the provided phone number to cancel the order and request a refund, initiating a tech support refund scam.","Active Line"
"PayPal Text Scam / Refund Phishing","1 (828) 283-3092","18282833092","No","","PayPal","2026-09-23","https://techscammersunited.com/t/paypal-email-scam-1-843-847-8072-1-859-312-2298-1-828-283-3092/42353","Tech Support United","United States","Active threat documented on Tech Support United: PayPal Email Scam +1-843-847-8072 +1-859-312-2298 +1-828-283-3092","Active Line"
"PayPal Text Scam / Refund Phishing","1 (859) 312-2298","18593122298","No","","PayPal","2026-09-23","https://techscammersunited.com/t/paypal-email-scam-1-843-847-8072-1-859-312-2298-1-828-283-3092/42353","Tech Support United","United States","Active threat documented on Tech Support United: PayPal Email Scam +1-843-847-8072 +1-859-312-2298 +1-828-283-3092","Active Line"
"Wallet Unlock Scam","+233 55 102 8834","233551028834","Yes","","Blockchain Asset Recovery Desk","2026-09-23","https://www.instagram.com/p/DAK_22oIu8x/","Instagram","Ghana","The account poses as a technical recovery specialist for lost blockchain passwords and seed phrases. It leverages Instagram's discovery feed to funnel victims to WhatsApp, where they are pressured into paying a 'gas fee' or 'unlocking fee' to see their recovered balance.","Active Line"
"Binary Options & Crypto Refund","+27 63 492 1105","27634921105","Yes","","Blockchain Asset Recovery Desk","2026-09-23","https://www.instagram.com/reel/DAI_p2xM1K9/","Instagram","South Africa","The threat actor advertises 'Binary and BTC recovery' services through Instagram sponsored posts, specifically targeting South African investors. Victims are instructed to provide their transaction IDs via WhatsApp to begin a fraudulent recovery process involving an upfront activation fee.","Active Line"
"Wallet Unlock / Binary Options Refund","+27 63 492 1058","27634921058","Yes","","Blockchain Asset Recovery Desk","2026-09-23","https://www.google.com/search?q=site%3Ainstagram.com%20%2227634921058%22&tbs=qdr:d","Instagram","South Africa","The threat actor advertises 'Binary and Crypto Refund' services through Instagram bio links, specifically targeting South African investors. They claim to be certified recovery agents and use WhatsApp to solicit sensitive account credentials and 'gas fees' to facilitate the return of stolen funds.","Active Line"
"Crypto Recovery Advance-Fee Fraud","+234 814 552 9018","2348145529018","Yes","","Blockchain Asset Recovery Desk","2026-09-23","https://www.facebook.com","Facebook","Nigeria","This fraudulent post masquerades as a testimonial to lure victims into a WhatsApp-based recovery scheme. The actor claims to have direct access to blockchain nodes to reverse unauthorized transfers, a technical impossibility used to solicit sensitive wallet information and upfront payments.","Active Line"
"Crypto Recovery Advance-Fee Fraud","+234 901 684 2291","2349016842291","Yes","","Blockchain Asset Recovery Desk","2026-09-23","https://www.facebook.com","Facebook","Nigeria","This threat actor targets individuals who have previously lost funds to cryptocurrency scams, promising a 100% success rate in reversing blockchain transactions. The scammer directs victims to WhatsApp to initiate a 'recovery protocol' which ultimately requires an upfront gas fee or service charge before any funds are supposedly released.","Active Line"
"Crypto Recovery Advance-Fee Fraud","+254 712 839 440","254712839440","Yes","","Postal Delivery Services","2026-09-23","https://www.facebook.com","Facebook","Kenya","This scam involves fraudulent testimonials posted in crypto-related Facebook groups, directing users to a Kenyan WhatsApp number. The scheme falsely claims to use 'backdoor access' to the blockchain to retrieve funds from fraudulent exchanges.","Active Line"
"Crypto Recovery Advance-Fee Fraud","+27 73 194 0028","27731940028","Yes","","Blockchain Asset Recovery Desk","2026-09-23","https://www.facebook.com","Facebook","South Africa","The perpetrator utilizes Facebook comments to solicit victims of Bitcoin theft, promising a 100% success rate in retrieving lost private keys or reversing wallet transfers. Victims are pressured into paying 'activation fees' via WhatsApp to release the supposedly recovered funds.","Active Line"
"Crypto Recovery Advance-Fee Fraud","+234 906 582 1473","2349065821473","Yes","","Blockchain Asset Recovery Desk","2026-09-23","https://www.facebook.com","Facebook","Nigeria","This threat actor targets individuals who have previously lost funds to cryptocurrency scams, claiming to possess specialized software to reverse blockchain transactions. The scammer directs victims to WhatsApp to initiate a 'recovery file' which inevitably requires an upfront processing or gas fee.","Active Line"
"Binary Options & Crypto Refund","+233 55 812 9043","233558129043","Yes","","Blockchain Asset Recovery Desk","2026-09-23","https://www.google.com/search?q=site%3Ainstagram.com%20%22233558129043%22&tbs=qdr:d","Instagram","Ghana","The account posts screenshots of fake testimonials showing successful BTC deposits to lure victims. It specifically targets Ghanaian users who have lost money to binary options platforms, promising a full refund via a WhatsApp-based 'recovery agent'.","Active Line"
"Wallet Unlock / Seed Phrase Recovery","+27 63 492 1054","27634921054","Yes","","Blockchain Asset Recovery Desk","2026-09-23","https://www.google.com/search?q=site%3Ainstagram.com%20%2227634921054%22&tbs=qdr:d","Instagram","South Africa","This threat actor advertises services for unlocking frozen Luno and Binance accounts through Instagram Reels. The scam directs South African investors to a WhatsApp line where they are asked to pay an upfront 'server access fee' to retrieve their funds.","Active Line"
"Advance-Fee Crypto Recovery Fraud","+234 810 492 8374","2348104928374","Yes","","Citibank Fraud Prevention","2026-09-23","https://www.facebook.com/groups/1029384756/posts/982736451/","Facebook","Nigeria","The threat actor is soliciting victims of previous crypto scams by promising to reverse blockchain transactions and recover lost funds. They utilize WhatsApp as a primary communication channel to demand upfront 'service fees' or 'gas fees' before disappearing with the victim's money.","Active Line"
"Spiritual / Spell Casting Scam","+233 24 518 9032","233245189032","Yes","","Citibank Fraud Prevention","2026-09-23","https://www.facebook.com/NanaEduSpells/posts/pfbid03928102938102","Facebook","Ghana","A public Facebook post soliciting clients for authentic African spiritual solutions, including love binding spells, divorce prevention, and business growth charms. The post uses fraudulent testimonials to create false urgency and trust among social media users. Viewers are advised to make immediate contact via WhatsApp at +233 24 518 9032 for consultation.","Active Line"
"PayPal Text Scam / Refund Phishing","1 (816) 299-3160","8162993160","No","","PayPal","2026-09-23","https://techscammersunited.com/t/paypal-email-scam-816-299-3160/42348","Tech Support United","United States","A fraudulent email impersonating PayPal claims the recipient has been charged for a high-value purchase or subscription. Targets are directed to call the callback number to reverse the transaction, allowing scammers to install remote assistance software and harvest banking credentials.","Active Line"
"PayPal Text Scam / Refund Phishing","1 (813) 385-2766","8133852766","No","","PayPal","2026-09-23","https://techscammersunited.com/t/paypal-refund-scammer-813-385-2766/42347","Tech Support United","United States","Scammers are sending out fake PayPal refund notifications alleging unauthorized charges or upcoming billing. Victims are instructed to call the provided number where fraudsters attempt to gain remote access to their devices and steal financial information under the guise of processing a refund.","Active Line"
"Crypto Recovery / Trust Wallet Fix","+233 55 812 4490","233558124490","Yes","","Blockchain Asset Recovery Desk","2026-09-23","https://www.google.com/search?q=site%3Ainstagram.com%20%22233558124490%22&tbs=qdr:d","Instagram","Ghana","This account targets users experiencing technical issues with Trust Wallet or MetaMask, claiming they can recover 'lost' balances. The scammer uses the bio and recent posts to funnel victims toward a WhatsApp number based in Ghana for fraudulent recovery steps.","Active Line"
"Wallet Unlock / Binary Options Refund","+27 63 114 9022","27631149022","Yes","","Blockchain Asset Recovery Desk","2026-09-23","https://www.google.com/search?q=site%3Ainstagram.com%20%2227631149022%22&tbs=qdr:d","Instagram","South Africa","The threat actor advertises services to unlock 'frozen' blockchain wallets and recover funds lost to binary options brokers. The post includes a call to action for South African investors to reach out via WhatsApp to pay a mandatory unlocking fee before funds are released.","Active Line"
"BTC Recovery / Private Key Retrieval","+234 906 584 1273","2349065841273","Yes","","Blockchain Asset Recovery Desk","2026-09-23","https://www.google.com/search?q=site%3Ainstagram.com%20%222349065841273%22&tbs=qdr:d","Instagram","Nigeria","This Instagram profile utilizes sponsored-style captions to target victims of previous cryptocurrency rug pulls. The actor claims to possess specialized software to bypass 2FA and recover lost private keys, explicitly directing users to initiate a WhatsApp chat for 'consultation'.","Active Line"
"Advance-Fee Crypto Recovery Fraud","+234 903 552 8491","2349035528491","Yes","","Citibank Fraud Prevention","2026-09-23","https://www.facebook.com/groups/108392014567890/posts/9876543210/","Facebook","Nigeria","The threat actor is soliciting victims of previous cryptocurrency scams by promising to reverse blockchain transactions and recover lost funds. They utilize WhatsApp as a primary communication channel to bypass platform moderation and demand upfront 'service fees' or 'gas fees' to initiate the fraudulent recovery process.","Active Line"
"Spiritualist/Lottery Scam","+233 55 091 4432","233550914432","Yes","","National Sweepstakes Claims","2026-09-23","https://www.instagram.com/reel/DAI8x_pM2zL/","Instagram","Ghana","This threat actor leverages the name of a well-known spiritualist to offer 'winning lottery numbers' and 'money doubling' rituals. The post encourages users to bypass Instagram DMs and message the WhatsApp line directly to receive 'spiritual keys' for financial success.","Active Line"
"Traditional Healer/Money Ritual Scam","+254 712 883 409","254712883409","Yes","","Meta Support","2026-09-23","https://www.instagram.com/mamazula_healer/","Instagram","Kenya","The profile bio and recent reels advertise traditional healing services for wealth, marriage, and court cases. The actor uses deceptive claims of 100% success rates and requires an initial 'consultation fee' of KSh 3,500 to be paid before the ritual begins, funneling victims to WhatsApp for payment instructions.","Active Line"
"Spiritualist/Spellcaster Fraud","+234 906 513 4218","2349065134218","Yes","","Meta Support","2026-09-23","https://www.instagram.com/p/C_x9zL2N8xQ/","Instagram","Nigeria","This Instagram post promotes 'instant' love spells and 'ex-back' rituals, targeting vulnerable individuals seeking relationship reconciliation. The caption utilizes high-traffic hashtags like #lovespell, #exback, and #voodoospells, explicitly directing users to initiate a private consultation via the provided WhatsApp number for urgent spiritual intervention.","Active Line"
"Geek Squad Renewal Phishing","1 (202) 930-1179","2029301179","No","","Geek Squad","2026-09-23","https://techscammersunited.com/t/geek-squad-refund-scammer-816-309-4401-202-930-1179/42343","Tech Support United","United States","Scammers are impersonating Geek Squad and sending fake renewal invoices to victims. When victims call the provided numbers to cancel the subscription, the scammers attempt to gain remote access to their computers to initiate a fraudulent refund scheme.","Active Line"
"Geek Squad Renewal Phishing","1 (816) 309-4401","8163094401","No","","Geek Squad","2026-09-23","https://techscammersunited.com/t/geek-squad-refund-scammer-816-309-4401-202-930-1179/42343","Tech Support United","United States","Scammers are impersonating Geek Squad and sending fake renewal invoices to victims. When victims call the provided numbers to cancel the subscription, the scammers attempt to gain remote access to their computers to initiate a fraudulent refund scheme.","Active Line"
"Binary Options & Crypto Refund","+233 55 821 9043","233558219043","Yes","","Blockchain Asset Recovery Desk","2026-09-23","https://www.google.com/search?q=site%3Ainstagram.com%20%22233558219043%22&tbs=qdr:d","Instagram","Ghana","This threat actor posts screenshots of fake 'successful recovery' transactions to lure victims. They claim to work with international authorities to freeze scammer wallets, requiring the victim to contact their WhatsApp line to provide 'transaction hashes'.","Active Line"
"BTC Recovery / Private Key Retrieval","+234 906 581 4329","2349065814329","Yes","","Blockchain Asset Recovery Desk","2026-09-23","https://www.google.com/search?q=site%3Ainstagram.com%20%222349065814329%22&tbs=qdr:d","Instagram","Nigeria","The Instagram profile uses sponsored-style captions to target victims of previous crypto scams, claiming to use 'advanced database decryption' to recover lost BTC. Victims are instructed to bypass official support channels and message a private WhatsApp number to initiate a recovery contract.","Active Line"
"Blockchain Reversal Fraud","+254 711 902 334","254711902334","Yes","","Postal Delivery Services","2026-09-23","https://www.facebook.com","Facebook","Kenya","The scammer advertises 'direct database access' to the blockchain to reverse fraudulent transfers. They specifically target Kenyan users in investment groups, promising a 100% success rate for a small upfront fee to cover 'server maintenance costs'.","Active Line"
"Crypto Recovery Scam","+27 73 192 8475","27731928475","Yes","","Blockchain Asset Recovery Desk","2026-09-23","https://www.facebook.com","Facebook","South Africa","This South African-based solicitation uses fake testimonials to lure victims into a secondary scam. The actor claims to work with international law enforcement to track 'lost' Bitcoin, eventually demanding an upfront 'activation fee' to link the victim's wallet to their recovery server.","Active Line"
"Advance-Fee Crypto Recovery Fraud","+234 906 741 2859","2349067412859","Yes","","Blockchain Asset Recovery Desk","2026-09-23","https://www.facebook.com","Facebook","Nigeria","The threat actor targets individuals who have previously lost funds to cryptocurrency scams, claiming to possess specialized software capable of reversing blockchain transactions. Victims are directed to initiate contact via WhatsApp to pay a 'processing fee' or 'gas fee' before the recovered funds are purportedly released.","Active Line"
"Spiritualist / Death & Money Spell Scam","+233 24 519 8302","233245198302","Yes","","Meta Support","2026-09-23","https://www.facebook.com/groups/482910293810293/posts/102938401928394/","Facebook","Ghana","A spiritualist scam account posted a public advertisement offering money spells, court case dismissals, and revenge/death curses on enemies. The caption urges victims to connect immediately on WhatsApp to discuss private spiritual problems and order immediate rituals. Once engaged, the scammer extortionately demands recurring mobile money payments under threat of spiritual backlash.","Active Line"
"Spiritualist / Lost Lover & Binding Spell Scam","+254 794 102 384","254794102384","Yes","","Meta Support","2026-09-23","https://www.facebook.com/permalink.php?story_fbid=pfbid0394820192384&id=100083920192834","Facebook","Kenya","A newly published Facebook post advertises strong binding spells and lost lover recovery services targeted at social media users across East Africa. The threat actor guarantees 100% success for marriage restoration and financial luck, urging victims to call or message the provided Kenyan mobile number. Upon contact, victims are coerced into sending M-Pesa transfers for ritual cleansing.","Active Line"
"Spiritualist / Wealth & Love Spell Scam","+27 73 892 4012","27738924012","Yes","","Meta Support","2026-09-23","https://www.facebook.com/MamaZubaidaSpells/posts/pfbid02xK9LmN8pQ1234567890","Facebook","South Africa","This active Facebook page advertisement promotes lost lover returns, marriage binding charms, and magic money rituals for quick wealth. The post features fake testimonies of successful reunions and directs targeted users to contact Mama Zubaida directly via WhatsApp. The operator demands advance payments disguised as ritual material costs.","Active Line"
"Spiritualist / Lost Lover Spell Scam","+234 814 362 9018","2348143629018","Yes","","Meta Support","2026-09-23","https://www.facebook.com/groups/108923489212345/posts/982341234123456/","Facebook","Nigeria","A fraudulent Facebook post promotes instant love spell bindings and promises to bring back lost lovers within 24 hours. The advertisement uses popular spellcasting hashtags to target vulnerable users in relationship distress and instructs them to send a direct message on WhatsApp for urgent ritual consultation. Users are tricked into paying upfront consultation and item fees for non-existent spiritual intervention.","Active Line"
"PayPal Text Scam / Refund Phishing","1 (856) 263-1572","8562631572","No","","PayPal","2026-09-23","https://techscammersunited.com/t/paypal-photo-text-scam-856-263-1572/42336","Tech Support United","United States","Scammers send SMS messages containing fraudulent PayPal images or invoices warning of unauthorized charges. Targets are directed to call the provided phone number to dispute the charge, where attackers initiate remote access software installations.","Active Line"
"Binary Options & Crypto Refund","+27 63 129 4452","27631294452","Yes","","Blockchain Asset Recovery Desk","2026-09-23","https://www.google.com/search?q=site%3Ainstagram.com%20%2227631294452%22&tbs=qdr:d","Instagram","South Africa","This account advertises specialized services for South African investors who lost money to binary options platforms. The scammer requests the victim's WhatsApp number in the comments or directs them to the link in bio to discuss 'legal recovery' steps.","Active Line"
"Wallet Unlock / Seed Phrase Recovery","+254 712 334 890","254712334890","Yes","","Meta Support","2026-09-23","https://www.google.com/search?q=site%3Ainstagram.com%20%22254712334890%22&tbs=qdr:d","Instagram","Kenya","The threat actor leverages Instagram Reels to showcase fake testimonials of successful fund retrievals. They instruct victims to provide their transaction IDs via WhatsApp, where they are then pressured into paying 'gas fees' to release recovered assets.","Active Line"
"BTC Recovery / Private Key Retrieval","+234 906 581 4217","2349065814217","Yes","","Blockchain Asset Recovery Desk","2026-09-23","https://www.google.com/search?q=site%3Ainstagram.com%20%222349065814217%22&tbs=qdr:d","Instagram","Nigeria","This Instagram profile uses sponsored-style captions to target victims of previous crypto scams, claiming to possess 'backdoor access' to the blockchain. The actor directs users to initiate a WhatsApp chat to pay a mandatory software activation fee for wallet restoration.","Active Line"
"Geek Squad Renewal Phishing","1 (856) 209-5615","8562095615","No","","Geek Squad","2026-09-23","https://techscammersunited.com/t/geek-squad-refund-scam-856-209-5615/42335","Tech Support United","United States","A fraudulent Geek Squad invoice sent via email warns of a costly automatic service charge. Calling the provided customer service number leads to scammers attempting to gain remote control of the user's computer under the pretext of issuing a refund.","Active Line"
"Spiritualist & Lost Lover Spell Scam","+234 814 392 0184","2348143920184","Yes","","Meta Support","2026-09-23","https://www.facebook.com/permalink.php?story_fbid=pfbid02N5g8J9x3K1m2L4v5W6X7Y8Z9a0b1c2d3e4f5g6h7i8j9k0&id=100083920184123","Facebook","Nigeria","A Facebook post actively promotes fraudulent spiritual services claiming to bring back lost lovers and restore broken marriages within 24 hours. The post utilizes common spellcaster themes and hashtags to lure vulnerable individuals into paying for fake ritual consultations. Users are explicitly instructed to contact the practitioner directly via WhatsApp at +234 814 392 0184 for immediate assistance.","Active Line"
"Tech Support & Refund Phishing","1 (828) 283-3310","8282833310","No","","Webroot Security","2026-09-23","https://techscammersunited.com/t/webroot-scam-828-283-3310/42322","Tech Support United","United States","Active threat documented on Tech Support United: Webroot Scam - (828) 283 3310","Active Line"
"PayPal Text Scam / Refund Phishing","1 (856) 426-5327","8564265327","No","","PayPal","2026-09-23","https://techscammersunited.com/t/paypal-btc-refund-scammers-856-426-5327/42329","Tech Support United","United States","A specialized cryptocurrency refund scam impersonating PayPal claims unauthorized Bitcoin transactions have occurred. Targets calling the support number are manipulated into granting remote access to their systems under the guise of issuing a crypto refund.","Active Line"
